,annual,state,year
0,-0.0425,Alabama,1966
1,0.935833333,Alabama,1967
2,-1.155,Alabama,1968
3,-0.285833333,Alabama,1969
4,-0.109166667,Alabama,1970
5,1.116666667,Alabama,1971
6,0.049166667,Alabama,1972
7,2.388333333,Alabama,1973
8,2.101666667,Alabama,1974
9,4.161666667,Alabama,1975
10,3.0875,Alabama,1976
11,0.480833333,Alabama,1977
12,-0.490833333,Alabama,1978
13,2.295,Alabama,1979
14,0.371666667,Alabama,1980
15,-2.4125,Alabama,1981
16,0.674166667,Alabama,1982
17,2.43,Alabama,1983
18,-0.139166667,Alabama,1984
19,-0.205,Alabama,1985
20,-1.766666667,Alabama,1986
21,-1.0025,Alabama,1987
22,-1.400833333,Alabama,1988
23,1.424166667,Alabama,1989
24,0.144166667,Alabama,1990
25,0.415833333,Alabama,1991
26,0.681666667,Alabama,1992
27,-0.269166667,Alabama,1993
28,0.755833333,Alabama,1994
29,-0.13,Alabama,1995
30,1.8325,Alabama,1996
31,1.926666667,Alabama,1997
32,0.515,Alabama,1998
33,-0.8475,Alabama,1999
34,-3.018333333,Alabama,2000
35,1.0375,Alabama,2001
36,-0.336666667,Alabama,2002
37,2.0575,Alabama,2003
38,0.738333333,Alabama,2004
39,1.304166667,Alabama,2005
40,-2.07,Alabama,2006
41,-3.9525,Alabama,2007
42,-1.68,Alabama,2008
43,2.036666667,Alabama,2009
44,-0.8875,Alabama,2010
45,-2.6525,Alabama,2011
46,-1.121666667,Alabama,2012
47,2.084166667,Alabama,2013
48,0.7075,Alabama,2014
49,-0.553333333,Alabama,2015
50,-1.691666667,Alabama,2016
51,0.873333333,Alabama,2017
52,1.179166667,Alabama,2018
53,0.134166667,Alabama,2019
54,2.5975,Alabama,2020
55,2.164166667,Alabama,2021
56,-0.156666667,Alabama,2022
57,-16.91833333,Alabama,2023
58,2.254166667,Arizona,1966
59,-0.606666667,Arizona,1967
60,0.695833333,Arizona,1968
61,0.215833333,Arizona,1969
62,-0.409166667,Arizona,1970
63,-0.886666667,Arizona,1971
64,-1.435833333,Arizona,1972
65,2.21,Arizona,1973
66,-2.5875,Arizona,1974
67,-1.415833333,Arizona,1975
68,-0.96,Arizona,1976
69,-1.915,Arizona,1977
70,2.998333333,Arizona,1978
71,5.378333333,Arizona,1979
72,1.709166667,Arizona,1980
73,-2.196666667,Arizona,1981
74,0.9825,Arizona,1982
75,4.949166667,Arizona,1983
76,0.318333333,Arizona,1984
77,3.086666667,Arizona,1985
78,-0.241666667,Arizona,1986
79,0.290833333,Arizona,1987
80,0.209166667,Arizona,1988
81,-3.215,Arizona,1989
82,-1.3475,Arizona,1990
83,0.530833333,Arizona,1991
84,3.444166667,Arizona,1992
85,3.324166667,Arizona,1993
86,-0.838333333,Arizona,1994
87,0.630833333,Arizona,1995
88,-4.1375,Arizona,1996
89,-1.864166667,Arizona,1997
90,1.368333333,Arizona,1998
91,-1.2725,Arizona,1999
92,-2.534166667,Arizona,2000
93,-0.1025,Arizona,2001
94,-4.6,Arizona,2002
95,-3.618333333,Arizona,2003
96,-2.030833333,Arizona,2004
97,1.653333333,Arizona,2005
98,-3.385,Arizona,2006
99,-3.9325,Arizona,2007
100,-1.473333333,Arizona,2008
101,-2.695,Arizona,2009
102,0.865,Arizona,2010
103,-2.496666667,Arizona,2011
104,-3.5475,Arizona,2012
105,-2.658333333,Arizona,2013
106,-3.288333333,Arizona,2014
107,-0.5975,Arizona,2015
108,-2.055833333,Arizona,2016
109,-1.7175,Arizona,2017
110,-3.3425,Arizona,2018
111,0.5525,Arizona,2019
112,-0.966666667,Arizona,2020
113,-3.828333333,Arizona,2021
114,-1.568333333,Arizona,2022
115,-15.99166667,Arizona,2023
116,-1.3275,Arkansas,1966
117,0.225833333,Arkansas,1967
118,1.986666667,Arkansas,1968
119,-0.536666667,Arkansas,1969
120,0.120833333,Arkansas,1970
121,-0.839166667,Arkansas,1971
122,-0.789166667,Arkansas,1972
123,3.929166667,Arkansas,1973
124,3.719166667,Arkansas,1974
125,2.674166667,Arkansas,1975
126,-0.486666667,Arkansas,1976
127,-1.34,Arkansas,1977
128,-0.843333333,Arkansas,1978
129,1.960833333,Arkansas,1979
130,-1.380833333,Arkansas,1980
131,-0.504166667,Arkansas,1981
132,0.2925,Arkansas,1982
133,-0.279166667,Arkansas,1983
134,0.976666667,Arkansas,1984
135,-0.221666667,Arkansas,1985
136,-0.245,Arkansas,1986
137,-0.638333333,Arkansas,1987
138,-0.7325,Arkansas,1988
139,1.518333333,Arkansas,1989
140,1.785,Arkansas,1990
141,2.0575,Arkansas,1991
142,0.706666667,Arkansas,1992
143,0.439166667,Arkansas,1993
144,1.495833333,Arkansas,1994
145,-0.710833333,Arkansas,1995
146,-0.000833333,Arkansas,1996
147,2.166666667,Arkansas,1997
148,-0.88,Arkansas,1998
149,-1.641666667,Arkansas,1999
150,-2.060833333,Arkansas,2000
151,-0.043333333,Arkansas,2001
152,0.113333333,Arkansas,2002
153,0.019166667,Arkansas,2003
154,0.6,Arkansas,2004
155,-1.874166667,Arkansas,2005
156,-2.263333333,Arkansas,2006
157,-1.089166667,Arkansas,2007
158,1.941666667,Arkansas,2008
159,3.695,Arkansas,2009
160,-1.069166667,Arkansas,2010
161,-2.273333333,Arkansas,2011
162,-2.493333333,Arkansas,2012
163,0.661666667,Arkansas,2013
164,0.565833333,Arkansas,2014
165,1.424166667,Arkansas,2015
166,1.058333333,Arkansas,2016
167,-0.324166667,Arkansas,2017
168,0.775,Arkansas,2018
169,3.916666667,Arkansas,2019
170,4.135833333,Arkansas,2020
171,1.733333333,Arkansas,2021
172,-0.290833333,Arkansas,2022
173,-16.32916667,Arkansas,2023
174,-1.413333333,California,1966
175,1.679166667,California,1967
176,-0.815,California,1968
177,0.251666667,California,1969
178,-0.420833333,California,1970
179,0.266666667,California,1971
180,-0.861666667,California,1972
181,0.344166667,California,1973
182,0.331666667,California,1974
183,0.65,California,1975
184,-3.214166667,California,1976
185,-3.2475,California,1977
186,1.926666667,California,1978
187,0.453333333,California,1979
188,0.714166667,California,1980
189,-1.021666667,California,1981
190,3.443333333,California,1982
191,6.526666667,California,1983
192,-0.663333333,California,1984
193,-1.206666667,California,1985
194,-0.108333333,California,1986
195,-2.989166667,California,1987
196,-2.1275,California,1988
197,-1.413333333,California,1989
198,-2.988333333,California,1990
199,-2.548333333,California,1991
200,-2.415833333,California,1992
201,1.625,California,1993
202,-1.943333333,California,1994
203,4.181666667,California,1995
204,2.46,California,1996
205,-0.868333333,California,1997
206,4.636666667,California,1998
207,-0.174166667,California,1999
208,-0.519166667,California,2000
209,-2.418333333,California,2001
210,-2.185833333,California,2002
211,0.254166667,California,2003
212,-0.9875,California,2004
213,3.084166667,California,2005
214,0.460833333,California,2006
215,-3.7675,California,2007
216,-3.675833333,California,2008
217,-3.565833333,California,2009
218,1.473333333,California,2010
219,1.709166667,California,2011
220,-1.598333333,California,2012
221,-2.835833333,California,2013
222,-5.756666667,California,2014
223,-4.7975,California,2015
224,-1.383333333,California,2016
225,-0.03,California,2017
226,-2.884166667,California,2018
227,0.704166667,California,2019
228,-2.325833333,California,2020
229,-5.269166667,California,2021
230,-4.308333333,California,2022
231,-14.6075,California,2023
232,-0.143333333,Colorado,1966
233,-0.029166667,Colorado,1967
234,-0.0875,Colorado,1968
235,1.8875,Colorado,1969
236,3.434166667,Colorado,1970
237,1.6725,Colorado,1971
238,-0.908333333,Colorado,1972
239,3.120833333,Colorado,1973
240,-1.045,Colorado,1974
241,-0.118333333,Colorado,1975
242,-0.7825,Colorado,1976
243,-3.925833333,Colorado,1977
244,-2.16,Colorado,1978
245,2.608333333,Colorado,1979
246,0.704166667,Colorado,1980
247,-3.8425,Colorado,1981
248,0.455833333,Colorado,1982
249,3.554166667,Colorado,1983
250,4.554166667,Colorado,1984
251,4.041666667,Colorado,1985
252,3.12,Colorado,1986
253,3.291666667,Colorado,1987
254,0.780833333,Colorado,1988
255,-1.945,Colorado,1989
256,-2.598333333,Colorado,1990
257,-0.199166667,Colorado,1991
258,0.95,Colorado,1992
259,2.4675,Colorado,1993
260,-0.405833333,Colorado,1994
261,2.9425,Colorado,1995
262,1.436666667,Colorado,1996
263,3.119166667,Colorado,1997
264,3.179166667,Colorado,1998
265,1.031666667,Colorado,1999
266,-2.316666667,Colorado,2000
267,-2.675833333,Colorado,2001
268,-6.471666667,Colorado,2002
269,-4.9425,Colorado,2003
270,-1.3625,Colorado,2004
271,0.6975,Colorado,2005
272,-0.463333333,Colorado,2006
273,0.189166667,Colorado,2007
274,0.041666667,Colorado,2008
275,0.671666667,Colorado,2009
276,0.691666667,Colorado,2010
277,-0.146666667,Colorado,2011
278,-4.626666667,Colorado,2012
279,-3.620833333,Colorado,2013
280,0.685,Colorado,2014
281,1.4025,Colorado,2015
282,0.36,Colorado,2016
283,-0.023333333,Colorado,2017
284,-3.335,Colorado,2018
285,0.503333333,Colorado,2019
286,-3.840833333,Colorado,2020
287,-5.0975,Colorado,2021
288,-4.519166667,Colorado,2022
289,-15.29833333,Colorado,2023
290,-4.135,Connecticut,1966
291,-0.313333333,Connecticut,1967
292,-0.930833333,Connecticut,1968
293,-0.180833333,Connecticut,1969
294,-1.105,Connecticut,1970
295,-0.676666667,Connecticut,1971
296,2.289166667,Connecticut,1972
297,2.944166667,Connecticut,1973
298,0.1175,Connecticut,1974
299,1.0825,Connecticut,1975
300,1.376666667,Connecticut,1976
301,0.370833333,Connecticut,1977
302,-0.293333333,Connecticut,1978
303,0.7875,Connecticut,1979
304,-0.833333333,Connecticut,1980
305,-1.479166667,Connecticut,1981
306,-0.031666667,Connecticut,1982
307,0.838333333,Connecticut,1983
308,1.205,Connecticut,1984
309,-0.434166667,Connecticut,1985
310,-0.068333333,Connecticut,1986
311,-0.664166667,Connecticut,1987
312,-0.926666667,Connecticut,1988
313,1.758333333,Connecticut,1989
314,2.345,Connecticut,1990
315,-0.371666667,Connecticut,1991
316,0.673333333,Connecticut,1992
317,0.285833333,Connecticut,1993
318,0.2375,Connecticut,1994
319,-0.855833333,Connecticut,1995
320,2.060833333,Connecticut,1996
321,-0.189166667,Connecticut,1997
322,0.224166667,Connecticut,1998
323,0.0075,Connecticut,1999
324,0.631666667,Connecticut,2000
325,-0.951666667,Connecticut,2001
326,-0.904166667,Connecticut,2002
327,0.818333333,Connecticut,2003
328,-0.0725,Connecticut,2004
329,0.405,Connecticut,2005
330,2.801666667,Connecticut,2006
331,-0.260833333,Connecticut,2007
332,1.92,Connecticut,2008
333,0.8025,Connecticut,2009
334,-0.285,Connecticut,2010
335,1.300833333,Connecticut,2011
336,-1.893333333,Connecticut,2012
337,-0.944166667,Connecticut,2013
338,-1.143333333,Connecticut,2014
339,-2.283333333,Connecticut,2015
340,-3.648333333,Connecticut,2016
341,-2.645,Connecticut,2017
342,1.0775,Connecticut,2018
343,2.455,Connecticut,2019
344,-1.351666667,Connecticut,2020
345,-0.215,Connecticut,2021
346,-1.711666667,Connecticut,2022
347,-16.36,Connecticut,2023
348,-2.679166667,Delaware,1966
349,0.949166667,Delaware,1967
350,-1.745833333,Delaware,1968
351,-0.769166667,Delaware,1969
352,0.2775,Delaware,1970
353,0.6125,Delaware,1971
354,2.7,Delaware,1972
355,-0.045833333,Delaware,1973
356,-0.620833333,Delaware,1974
357,2.05,Delaware,1975
358,-1.134166667,Delaware,1976
359,-1.410833333,Delaware,1977
360,1.330833333,Delaware,1978
361,2.5275,Delaware,1979
362,-0.695833333,Delaware,1980
363,-1.669166667,Delaware,1981
364,-0.3425,Delaware,1982
365,1.490833333,Delaware,1983
366,0.964166667,Delaware,1984
367,-2.748333333,Delaware,1985
368,-2.78,Delaware,1986
