,NAME,DATE,NITRO,POT,PHOS
0,Arkansas,1964,,,
25,Arkansas,1965,,,
50,Arkansas,1966,,,
75,Arkansas,1967,,,
100,Arkansas,1968,,,
125,Arkansas,1969,,,
150,Arkansas,1970,,,
175,Arkansas,1971,,,
200,Arkansas,1972,,,
225,Arkansas,1973,,,
250,Arkansas,1974,,,
275,Arkansas,1975,,,
300,Arkansas,1976,,,
325,Arkansas,1977,,,
350,Arkansas,1978,,,
375,Arkansas,1979,,,
400,Arkansas,1980,,,
425,Arkansas,1981,,,
450,Arkansas,1982,,,
475,Arkansas,1983,,,
500,Arkansas,1984,,,
525,Arkansas,1985,72.0,52.0,25.0
550,Arkansas,1986,90.0,45.0,41.0
575,Arkansas,1987,93.0,50.0,33.0
600,Arkansas,1988,100.0,43.0,38.0
625,Arkansas,1989,97.0,54.0,38.0
650,Arkansas,1990,100.0,55.0,31.0
675,Arkansas,1991,100.0,53.0,36.0
700,Arkansas,1992,100.0,58.0,36.0
725,Arkansas,1993,,,
750,Arkansas,1994,,,
775,Arkansas,1995,,,
800,Arkansas,1996,,,
825,Arkansas,1997,,,
850,Arkansas,1998,,,
875,Arkansas,1999,,,
900,Arkansas,2000,92.0,48.426150121065376,28.0
925,Arkansas,2001,,,
950,Arkansas,2002,,,
975,Arkansas,2003,,,
1000,Arkansas,2004,,,
1025,Arkansas,2005,,,
1050,Arkansas,2006,,,
1075,Arkansas,2007,,,
1100,Arkansas,2008,,,
1125,Arkansas,2009,,,
1150,Arkansas,2010,,,
1175,Arkansas,2011,,,
1200,Arkansas,2012,,,
1225,Arkansas,2013,,,
1250,Arkansas,2014,,,
1275,Arkansas,2015,,,
1300,Arkansas,2016,,,
1325,Arkansas,2017,,,
1,California,1964,,,
26,California,1965,,,
51,California,1966,,,
76,California,1967,,,
101,California,1968,,,
126,California,1969,,,
151,California,1970,,,
176,California,1971,,,
201,California,1972,,,
226,California,1973,,,
251,California,1974,,,
276,California,1975,,,
301,California,1976,,,
326,California,1977,,,
351,California,1978,,,
376,California,1979,,,
401,California,1980,,,
426,California,1981,,,
451,California,1982,,,
476,California,1983,,,
501,California,1984,,,
526,California,1985,94.0,11.0,46.0
551,California,1986,91.0,10.0,54.0
576,California,1987,82.0,,17.0
601,California,1988,86.0,,27.0
626,California,1989,92.0,,36.0
651,California,1990,,,
676,California,1991,,,
701,California,1992,,,
726,California,1993,,,
751,California,1994,,,
776,California,1995,,,
801,California,1996,,,
826,California,1997,,,
851,California,1998,,,
876,California,1999,,,
901,California,2000,,,
926,California,2001,,,
951,California,2002,,,
976,California,2003,,,
1001,California,2004,,,
1026,California,2005,,,
1051,California,2006,,,
1076,California,2007,,,
1101,California,2008,,,
1126,California,2009,,,
1151,California,2010,,,
1176,California,2011,,,
1201,California,2012,,,
1226,California,2013,,,
1251,California,2014,,,
1276,California,2015,,,
1301,California,2016,,,
1326,California,2017,,,
2,Colorado,1964,9.0,,
27,Colorado,1965,7.0,12.0,4.0
52,Colorado,1966,1.0,,
77,Colorado,1967,8.0,,2.0
102,Colorado,1968,13.0,,1.0
127,Colorado,1969,13.0,,
152,Colorado,1970,6.0,,
177,Colorado,1971,6.0,,
202,Colorado,1972,10.0,,
227,Colorado,1973,9.0,10.0,4.5
252,Colorado,1974,8.0,,
277,Colorado,1975,16.0,,
302,Colorado,1976,18.0,3.0,4.0
327,Colorado,1977,9.0,,
352,Colorado,1978,11.0,,
377,Colorado,1979,10.0,,2.0
402,Colorado,1980,14.0,,2.0
427,Colorado,1981,25.0,23.0,4.0
452,Colorado,1982,35.0,,1.0
477,Colorado,1983,23.0,9.0,1.0
502,Colorado,1984,39.0,6.0,9.0
527,Colorado,1985,56.0,,8.0
552,Colorado,1986,64.0,10.0,11.0
577,Colorado,1987,66.0,,10.0
602,Colorado,1988,62.0,,13.0
627,Colorado,1989,64.0,,13.0
652,Colorado,1990,64.0,,18.0
677,Colorado,1991,54.0,,22.0
702,Colorado,1992,63.0,10.0,15.0
727,Colorado,1993,67.0,22.0,14.0
752,Colorado,1994,67.0,6.0,24.0
777,Colorado,1995,62.0,,23.0
802,Colorado,1996,77.0,,38.0
827,Colorado,1997,68.0,,39.0
852,Colorado,1998,78.0,6.363636363636363,33.0
877,Colorado,1999,,,
902,Colorado,2000,87.0,,14.0
927,Colorado,2001,,,
952,Colorado,2002,64.0,,31.0
977,Colorado,2003,,,
1002,Colorado,2004,59.0,25.0,31.0
1027,Colorado,2005,,,
1052,Colorado,2006,54.0,25.0,36.0
1077,Colorado,2007,,,
1102,Colorado,2008,,,
1127,Colorado,2009,54.0,,33.0
1152,Colorado,2010,,,
1177,Colorado,2011,,,
1202,Colorado,2012,72.0,18.0,40.0
1227,Colorado,2013,,,
1252,Colorado,2014,,,
1277,Colorado,2015,79.0,6.0,52.0
1302,Colorado,2016,,,
1327,Colorado,2017,63.0,,39.0
3,Georgia,1964,,,
28,Georgia,1965,,,
53,Georgia,1966,,,
78,Georgia,1967,,,
103,Georgia,1968,,,
128,Georgia,1969,,,
153,Georgia,1970,,,
178,Georgia,1971,,,
203,Georgia,1972,,,
228,Georgia,1973,,,
253,Georgia,1974,,,
278,Georgia,1975,,,
303,Georgia,1976,,,
328,Georgia,1977,,,
353,Georgia,1978,,,
378,Georgia,1979,,,
403,Georgia,1980,,,
428,Georgia,1981,,,
453,Georgia,1982,,,
478,Georgia,1983,,,
503,Georgia,1984,,,
528,Georgia,1985,,,
553,Georgia,1986,,,
578,Georgia,1987,,,
603,Georgia,1988,,,
628,Georgia,1989,,,
653,Georgia,1990,,,
678,Georgia,1991,,,
703,Georgia,1992,,,
728,Georgia,1993,,,
753,Georgia,1994,,,
778,Georgia,1995,,,
803,Georgia,1996,,,
828,Georgia,1997,,,
853,Georgia,1998,98.0,68.9655172413793,90.0
878,Georgia,1999,,,
903,Georgia,2000,,,
928,Georgia,2001,,,
953,Georgia,2002,,,
978,Georgia,2003,,,
1003,Georgia,2004,,,
1028,Georgia,2005,,,
1053,Georgia,2006,,,
1078,Georgia,2007,,,
1103,Georgia,2008,,,
1128,Georgia,2009,,,
1153,Georgia,2010,,,
1178,Georgia,2011,,,
1203,Georgia,2012,,,
1228,Georgia,2013,,,
1253,Georgia,2014,,,
1278,Georgia,2015,,,
1303,Georgia,2016,,,
1328,Georgia,2017,,,
4,Idaho,1964,46.0,,8.0
29,Idaho,1965,41.0,9.0,16.0
54,Idaho,1966,40.0,,7.0
79,Idaho,1967,48.0,7.0,7.0
104,Idaho,1968,42.0,,8.0
129,Idaho,1969,50.0,,13.0
154,Idaho,1970,56.0,11.0,19.0
179,Idaho,1971,59.0,,5.0
204,Idaho,1972,71.0,12.0,13.0
229,Idaho,1973,71.0,12.0,18.0
254,Idaho,1974,72.0,33.0,19.0
279,Idaho,1975,65.0,10.0,22.0
304,Idaho,1976,79.0,31.0,21.0
329,Idaho,1977,77.0,35.0,13.0
354,Idaho,1978,81.0,10.0,16.0
379,Idaho,1979,84.0,32.0,22.0
404,Idaho,1980,80.0,38.0,21.0
429,Idaho,1981,87.0,2.0,29.0
454,Idaho,1982,85.0,22.0,34.0
479,Idaho,1983,93.0,27.0,48.0
504,Idaho,1984,88.0,24.0,28.0
529,Idaho,1985,89.0,23.0,47.0
554,Idaho,1986,88.0,27.0,51.0
579,Idaho,1987,92.0,24.0,48.0
604,Idaho,1988,90.0,21.0,54.0
629,Idaho,1989,90.0,32.0,47.0
654,Idaho,1990,,,
679,Idaho,1991,78.0,21.0,51.0
704,Idaho,1992,91.0,28.0,51.0
729,Idaho,1993,95.0,19.0,62.0
754,Idaho,1994,91.0,40.0,57.0
779,Idaho,1995,94.0,17.0,69.0
804,Idaho,1996,97.0,38.75968992248062,48.0
829,Idaho,1997,98.0,44.932079414838036,62.0
854,Idaho,1998,96.60740740740741,27.235213204951858,73.28148148148148
879,Idaho,1999,,,
904,Idaho,2000,90.0,26.62721893491124,54.0
929,Idaho,2001,,,
954,Idaho,2002,,,
979,Idaho,2003,,,
1004,Idaho,2004,91.0,30.0,62.0
1029,Idaho,2005,,,
1054,Idaho,2006,94.0,22.0,62.0
1079,Idaho,2007,,,
1104,Idaho,2008,,,
1129,Idaho,2009,99.0,31.0,64.0
1154,Idaho,2010,,,
1179,Idaho,2011,,,
1204,Idaho,2012,,23.0,68.0
1229,Idaho,2013,,,
1254,Idaho,2014,,,
1279,Idaho,2015,96.0,21.0,65.0
1304,Idaho,2016,,,
1329,Idaho,2017,93.0,27.0,72.5
5,Illinois,1964,92.0,30.0,89.0
30,Illinois,1965,85.0,37.0,84.0
55,Illinois,1966,85.0,40.0,80.0
80,Illinois,1967,88.0,54.0,85.0
105,Illinois,1968,88.0,45.0,89.0
130,Illinois,1969,85.0,51.0,86.0
155,Illinois,1970,92.0,41.0,86.0
180,Illinois,1971,99.0,53.0,95.0
205,Illinois,1972,93.0,56.0,86.0
230,Illinois,1973,65.0,60.0,85.0
255,Illinois,1974,96.0,57.0,93.0
280,Illinois,1975,87.0,52.0,83.0
305,Illinois,1976,89.0,66.0,75.0
330,Illinois,1977,95.0,62.0,87.0
355,Illinois,1978,92.0,69.0,76.0
380,Illinois,1979,93.0,75.0,88.0
405,Illinois,1980,95.0,64.0,95.0
430,Illinois,1981,94.0,76.0,80.0
455,Illinois,1982,87.0,86.0,78.0
480,Illinois,1983,82.0,85.0,82.0
505,Illinois,1984,89.0,86.0,84.0
530,Illinois,1985,92.0,76.0,84.0
555,Illinois,1986,87.0,92.0,77.0
580,Illinois,1987,97.0,94.0,79.0
605,Illinois,1988,98.0,95.0,92.0
630,Illinois,1989,98.0,79.0,78.0
655,Illinois,1990,100.0,91.0,90.0
680,Illinois,1991,96.0,83.0,94.0
705,Illinois,1992,98.0,85.0,86.0
730,Illinois,1993,99.0,83.0,81.0
755,Illinois,1994,97.0,95.0,86.0
780,Illinois,1995,94.0,91.0,84.0
805,Illinois,1996,,,
830,Illinois,1997,91.0,98.13664596273291,69.0
855,Illinois,1998,98.0,108.22857142857143,82.0
880,Illinois,1999,,,
905,Illinois,2000,98.0,88.66396761133603,82.0
930,Illinois,2001,,,
955,Illinois,2002,96.0,97.29729729729729,76.0
980,Illinois,2003,,,
1005,Illinois,2004,98.0,130.0,85.0
1030,Illinois,2005,,,
1055,Illinois,2006,93.0,97.0,76.0
1080,Illinois,2007,,,
1105,Illinois,2008,,,
1130,Illinois,2009,99.0,92.0,80.0
1155,Illinois,2010,,,
1180,Illinois,2011,,,
1205,Illinois,2012,88.0,101.0,78.0
1230,Illinois,2013,,,
1255,Illinois,2014,,,
1280,Illinois,2015,90.0,105.0,72.0
1305,Illinois,2016,,,
1330,Illinois,2017,92.0,115.0,86.0
6,Indiana,1964,96.0,48.0,95.0
31,Indiana,1965,99.0,46.0,98.0
56,Indiana,1966,99.0,50.0,96.0
81,Indiana,1967,95.0,49.0,92.0
106,Indiana,1968,97.0,49.0,97.0
131,Indiana,1969,83.0,47.0,79.0
156,Indiana,1970,91.0,55.0,95.0
181,Indiana,1971,99.0,53.0,97.0
206,Indiana,1972,97.0,52.0,96.0
231,Indiana,1973,99.0,63.0,99.0
256,Indiana,1974,99.0,62.0,99.0
281,Indiana,1975,100.0,63.0,85.0
306,Indiana,1976,99.0,59.0,99.0
331,Indiana,1977,96.0,65.0,95.0
356,Indiana,1978,86.0,53.0,84.0
381,Indiana,1979,97.0,64.0,90.0
406,Indiana,1980,99.0,57.0,97.0
431,Indiana,1981,100.0,84.0,94.0
456,Indiana,1982,94.0,66.0,91.0
481,Indiana,1983,95.0,69.0,91.0
506,Indiana,1984,84.0,73.0,85.0
531,Indiana,1985,91.0,63.0,83.0
556,Indiana,1986,77.0,60.0,90.0
581,Indiana,1987,100.0,75.0,85.0
606,Indiana,1988,96.0,76.0,85.0
631,Indiana,1989,95.0,65.0,89.0
656,Indiana,1990,,,
681,Indiana,1991,97.0,69.0,87.0
706,Indiana,1992,98.0,67.0,83.0
731,Indiana,1993,,,
756,Indiana,1994,,,
781,Indiana,1995,,,
806,Indiana,1996,,,
831,Indiana,1997,,,
856,Indiana,1998,,,
881,Indiana,1999,97.0,78.78787878787878,91.0
906,Indiana,2000,,,
931,Indiana,2001,,,
956,Indiana,2002,,,
981,Indiana,2003,,,
1006,Indiana,2004,,,
1031,Indiana,2005,,,
1056,Indiana,2006,,,
1081,Indiana,2007,,,
1106,Indiana,2008,,,
1131,Indiana,2009,,,
1156,Indiana,2010,,,
1181,Indiana,2011,,,
1206,Indiana,2012,,,
1231,Indiana,2013,,,
1256,Indiana,2014,,,
1281,Indiana,2015,,,
1306,Indiana,2016,,,
1331,Indiana,2017,,,
7,Kansas,1964,39.0,11.0,32.0
32,Kansas,1965,40.0,11.0,31.0
57,Kansas,1966,50.0,13.0,38.0
82,Kansas,1967,51.0,14.0,41.0
107,Kansas,1968,59.0,16.0,45.0
132,Kansas,1969,50.0,24.0,39.0
157,Kansas,1970,51.0,14.0,37.0
182,Kansas,1971,48.0,18.0,31.0
207,Kansas,1972,60.0,15.0,40.0
232,Kansas,1973,66.0,22.0,42.0
257,Kansas,1974,68.0,19.0,39.0
282,Kansas,1975,68.0,19.0,42.0
307,Kansas,1976,73.0,24.0,47.0
332,Kansas,1977,71.0,21.0,41.0
357,Kansas,1978,63.0,18.0,30.0
382,Kansas,1979,70.0,25.0,38.0
407,Kansas,1980,76.0,31.0,40.0
432,Kansas,1981,76.0,30.0,44.0
457,Kansas,1982,75.0,27.0,40.0
482,Kansas,1983,82.0,41.0,49.0
507,Kansas,1984,84.0,28.0,48.0
532,Kansas,1985,81.0,24.0,43.0
557,Kansas,1986,79.0,31.0,42.0
582,Kansas,1987,86.0,14.0,49.0
607,Kansas,1988,89.0,31.0,50.0
632,Kansas,1989,87.0,29.0,52.0
657,Kansas,1990,88.0,21.0,44.0
682,Kansas,1991,89.0,34.0,53.0
707,Kansas,1992,87.0,32.0,50.0
732,Kansas,1993,87.0,19.0,51.0
757,Kansas,1994,89.0,34.0,49.0
782,Kansas,1995,90.0,34.0,61.0
807,Kansas,1996,94.0,,65.0
832,Kansas,1997,78.0,22.15909090909091,56.0
857,Kansas,1998,92.0,36.44859813084112,74.0
882,Kansas,1999,,,
907,Kansas,2000,94.0,19.047619047619047,65.0
932,Kansas,2001,,,
957,Kansas,2002,91.0,37.80864197530864,64.0
982,Kansas,2003,,,
1007,Kansas,2004,90.0,37.0,62.0
1032,Kansas,2005,,,
1057,Kansas,2006,88.0,36.0,66.0
1082,Kansas,2007,,,
1107,Kansas,2008,,,
1132,Kansas,2009,94.0,27.0,62.0
1157,Kansas,2010,,,
