,DATE,NAME,YIELD,EMSD,EMSN,EMXP,EVAP,DT00,DT32,DX32,DX70,DX90,FZF0,FZF1,FZF2,FZF3,FZF4,FZF5,FZF6,FZF7,FZF8,FZF9,IRRIGATION,NITRO,POT,PHOS,DROUGHT,TAVG,TMIN,TMAX,ALABAMA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,DELAWARE,FLORIDA,GEORGIA,IDAHO,ILLINOIS,INDIANA,KANSAS,KENTUCKY,LOUISIANA,MARYLAND,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW JERSEY,NEW MEXICO,NEW YORK,NORTH CAROLINA,NORTH DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,SOUTH CAROLINA,SOUTH DAKOTA,TENNESSEE,TEXAS,UTAH,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING
0,2008,IDAHO,70.5,0.0,0.0,0.0,0.0,10.166666666666666,179.90740740740742,36.0188679245283,124.9245283018868,32.283018867924525,-1.0351851851851852,-3.259259259259259,-5.855555555555555,-8.001851851851852,-10.666666666666666,-0.9611111111111112,-3.1277777777777778,-5.112962962962963,-7.635185185185185,-10.17222222222222,0.0,0.0,0.0,0.0,-1.6675,7.864893617021276,0.3431481481481481,15.02754716981132,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2008,MONTANA,29.0,0.0,0.0,0.0,0.0,26.139705882352946,196.63970588235293,45.92537313432836,112.55223880597016,16.94776119402985,-1.0338235294117646,-3.8375,-6.118382352941176,-8.205882352941176,-10.402941176470588,-0.9948529411764708,-3.397058823529412,-5.773529411764706,-8.351470588235294,-11.8125,0.0,0.0,0.0,0.0,-0.110833333,5.80592,-1.5670588235294118,13.27589552238806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2008,SOUTH DAKOTA,47.5,0.0,0.0,0.0,0.0,38.80281690140845,179.9718309859155,67.34722222222223,132.19444444444446,13.805555555555555,-1.143661971830986,-3.990140845070423,-5.994366197183099,-7.769014084507043,-10.43661971830986,-1.0253521126760563,-3.26056338028169,-5.642253521126761,-8.114084507042254,-11.26338028169014,0.0,0.0,0.0,0.0,1.980833333,6.512028985507246,-0.1477464788732394,13.161666666666669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,2008,WASHINGTON,52.4,0.0,0.0,0.0,0.0,3.19672131147541,114.91803278688523,18.89830508474576,93.33898305084746,13.11864406779661,-0.9524590163934428,-3.463934426229508,-5.99344262295082,-8.233333333333333,-10.939622641509434,-0.7262295081967213,-2.857377049180328,-5.135000000000001,-7.338636363636363,-9.593548387096773,0.0,0.0,0.0,0.0,-1.154166667,8.982,3.4091803278688526,14.439491525423728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,2007,IDAHO,67.8,0.0,0.0,0.0,0.0,10.0,167.21311475409837,37.660714285714285,132.66071428571428,40.55357142857143,-0.8852459016393442,-2.9393442622950823,-5.249180327868852,-7.406779661016949,-10.498214285714283,-0.9639344262295082,-3.0704918032786885,-5.477049180327869,-8.821311475409836,-11.52295081967213,146660.3777777778,0.0,0.0,0.0,-2.574166667,8.436037735849057,1.028032786885246,15.930357142857144,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2007,MONTANA,29.1,0.0,0.0,0.0,0.0,17.681818181818183,173.21212121212122,47.3984962406015,126.10526315789474,32.6015037593985,-1.4666666666666666,-3.5689393939393943,-6.0,-8.460606060606061,-10.661363636363635,-0.9022727272727272,-3.245454545454545,-5.565909090909091,-8.06969696969697,-10.572727272727272,70637.43859649122,0.0,0.0,0.0,-0.918333333,7.520708661417323,0.065530303030303,14.886691729323308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2007,OREGON,51.1,0.0,0.0,0.0,0.0,0.8194444444444444,107.97222222222224,10.938271604938272,120.82716049382717,22.40740740740741,-1.0416666666666667,-3.067692307692308,-5.247826086956522,-7.487179487179487,-10.3,-0.7611111111111111,-2.948611111111111,-5.241428571428571,-7.841269841269841,-10.061702127659576,99740.2162162162,0.0,0.0,0.0,-1.550833333,10.104545454545454,3.705833333333333,16.622222222222224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,2007,SOUTH DAKOTA,41.1,0.0,0.0,0.0,0.0,25.160919540229884,156.7816091954023,67.25263157894737,145.34736842105264,32.26315789473684,-1.2448275862068965,-3.1333333333333337,-6.401149425287356,-8.566666666666668,-10.282758620689656,-1.0701149425287355,-3.0804597701149423,-6.340229885057472,-9.133333333333333,-11.359770114942528,11130.328358208955,0.0,0.0,0.0,0.545833333,8.230813953488372,1.645977011494253,14.750105263157897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8,2007,WASHINGTON,57.9,0.0,0.0,0.0,0.0,0.9666666666666668,101.75,18.20289855072464,105.23188405797102,15.333333333333334,-0.8466666666666666,-3.1516666666666664,-5.253191489361702,-7.158620689655172,-9.861904761904762,-0.69,-2.935,-5.381666666666666,-8.159322033898306,-10.245833333333334,86795.85,0.0,0.0,0.0,-0.805,9.758103448275865,4.160333333333333,15.233478260869564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9,2006,IDAHO,72.1,0.0,0.0,0.0,0.0,9.031746031746032,167.5079365079365,32.1,129.05714285714285,33.6,-1.1777777777777778,-3.185714285714285,-5.988888888888889,-8.636507936507936,-11.113333333333332,-1.0873015873015872,-2.784126984126984,-5.141269841269842,-8.123809523809523,-10.823809523809524,0.0,94.0,22.0,62.0,-0.028333333,8.234333333333334,0.910952380952381,15.41542857142857,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
