"stfips","cofips","stcofips","Name","f1950000","i1950001","i1950002","f1954000","i1954001","i1954002","f1959000","i1959001","i1959002","f1964000","i1964001","i1964002","f1969000","i1969001","i1969002","f1974000","i1974001","i1974002","f1978000","i1978001","i1978002","f1982000","i1982001","i1982002","f1987000","i1987001","i1987002","f1992000","i1992001","i1992002","f1997000","i1997001","i1997002","f2002000","i2002001","i2002002","f2007000","i2007001","i2007002","f2012000","i2012001","i2012002"
"01","000","01000","Alabama",32689920,34,367,32689920,452,16658,32678400,328,17357,32678400,318,11768,32452480,337,11058,32452480,427,13909,32454400,994,58581,32490996,1040,66020,32490996,1344,84054,32480154,1380,82015,32476161,1503,79647,32476161,1698,108783,32412281,2035,112819,32413454,1747,113008
"01","001","01001","Autauga",383360,1,18,383360,16,345,383360,4,152,383360,3,22,383360,1,10,383360,5,42,383360,10,808,382105,5,0,382105,11,711,381446,6,0,381420,14,254,381420,23,928,380427,23,1157,380440,34,1555
"01","003","01003","Baldwin",1032320,6,172,1032320,46,1946,1032320,17,855,1032320,19,974,1010048,25,1632,1010048,31,3537,1009920,63,11096,1017228,70,9715,1017228,109,13596,1021780,120,9760,1021662,95,8276,1021662,121,11238,1017445,118,10159,1017498,125,7678
"01","005","01005","Barbour",575360,0,0,575360,0,0,575360,0,0,575360,1,0,570240,1,50,570240,13,476,570240,36,3019,565689,17,2632,565689,23,3637,566396,23,2742,566339,19,1402,566339,23,4912,566299,26,2785,566321,19,2301
"01","007","01007","Bibb",400000,0,0,400000,0,0,400000,0,0,400000,0,0,400000,0,0,400000,0,0,400000,4,61,399980,3,0,399980,7,127,398311,7,96,398736,2,0,398736,9,31,398448,11,164,398453,12,55
"01","009","01009","Blount",409600,0,0,409600,12,228,409600,4,31,409600,8,154,409216,5,34,409216,10,161,410880,12,0,411712,14,253,411712,27,658,413229,49,973,413174,44,444,413174,40,603,412608,53,568,412676,45,516
"01","011","01011","Bullock",393600,1,10,393600,2,20,393600,2,41,393600,1,300,393600,2,400,393600,4,274,393600,5,0,399884,10,503,399884,15,525,400041,19,445,400008,16,0,400008,16,866,398589,10,0,398595,9,1399
"01","013","01013","Butler",494720,2,4,494720,1,2,494720,4,129,494720,4,94,494720,6,73,494720,4,70,494720,9,219,498649,6,0,498649,12,150,497238,1,0,497195,9,133,497195,4,5,497171,17,71,497170,7,18
"01","015","01015","Calhoun",390400,0,0,390400,3,350,390400,2,32,390400,2,6,390912,0,0,390912,2,4,391040,11,30,391014,10,13,391014,13,188,389446,21,494,389415,28,801,389415,43,1586,387753,44,1729,387754,32,922
"01","017","01017","Chambers",382720,0,0,382720,3,87,382720,5,117,382720,4,83,382080,5,77,382080,3,24,382080,3,0,381241,4,0,381241,9,74,382340,17,339,382188,14,209,382188,13,257,381775,15,338,381780,21,73
"01","019","01019","Cherokee",384000,0,0,384000,4,232,384000,7,303,384000,6,181,355840,0,0,355840,1,3,355840,21,1361,354118,29,1785,354118,21,1386,354030,19,2169,353997,15,829,353997,20,2200,354373,19,1189,354381,17,1316
"01","021","01021","Chilton",447360,1,6,447360,3,14,447360,2,2,447360,4,71,447488,3,23,447488,5,25,447360,16,166,444486,14,175,444486,27,552,444202,28,287,444147,40,561,444147,39,934,443423,44,650,443427,36,484
"01","023","01023","Choctaw",587520,0,0,587520,0,0,587520,0,0,587520,0,0,583040,0,0,583040,0,0,583040,2,0,582041,6,29,582041,4,38,584688,1,0,584649,0,0,584649,4,0,584634,3,0,584640,7,8
"01","025","01025","Clarke",794240,0,0,794240,1,200,794240,0,0,794240,0,0,788480,0,0,788480,0,0,788480,3,8,787308,6,23,787308,5,29,792626,1,0,792560,6,10,792560,6,63,792605,4,62,792618,8,21
"01","027","01027","Clay",385920,0,0,385920,2,11,385920,1,19,385920,0,0,385920,2,105,385920,1,47,385920,2,0,387238,2,0,387238,5,17,387280,13,56,387247,12,16,387247,18,184,386531,11,38,386535,13,17
"01","029","01029","Cleburne",367360,0,0,367360,0,0,367360,0,0,367360,0,0,367360,0,0,367360,0,0,367360,0,0,358828,3,9,358828,1,0,358530,5,0,358535,6,0,358535,4,0,358458,15,498,358467,10,300
"01","031","01031","Coffee",433280,0,0,433280,0,0,433280,2,4,433280,0,0,433088,0,0,433088,3,49,433280,55,4903,435347,55,4872,435347,60,4701,434679,29,1871,434554,21,1771,434554,40,5459,434539,47,4191,434552,36,3267
"01","033","01033","Colbert",394240,0,0,394240,6,92,394240,4,74,394240,4,12,381696,1,5,381696,6,27,381440,9,171,377024,6,240,377024,19,1989,380528,17,3797,380500,18,2282,380500,8,2293,379273,13,2422,379277,20,3685
"01","035","01035","Conecuh",544000,0,0,544000,2,140,544000,1,16,544000,2,35,543872,7,136,543872,2,6,544000,4,0,546547,5,206,546547,7,276,544558,4,26,544508,7,60,544508,4,40,544090,5,130,544100,10,102
"01","037","01037","Coosa",414720,0,0,414720,8,101,414720,1,15,414720,3,53,415872,1,25,415872,1,35,416000,1,0,420595,4,58,420595,7,116,417594,6,23,417564,10,60,417564,14,55,416579,5,22,416593,2,0
"01","039","01039","Covington",661760,0,0,661760,3,162,661760,2,23,661760,5,44,629888,1,10,629888,4,24,629760,15,912,664313,20,1467,664313,20,1389,662225,24,2330,661642,26,0,661642,30,1631,659489,19,1246,659492,16,1436
