,NAME,DATE,IRRIGATION
0,Alabama,1950,10.794117647058824
480,Alabama,1997,2268.4411764705883
432,Alabama,1992,2368.573529411765
384,Alabama,1987,2461.6911764705883
336,Alabama,1982,1917.5294117647059
528,Alabama,2002,3170.294117647059
96,Alabama,1959,510.5
576,Alabama,2007,3294.970588235294
192,Alabama,1969,325.2352941176471
240,Alabama,1974,409.0882352941176
288,Alabama,1978,1652.235294117647
48,Alabama,1954,489.94117647058823
144,Alabama,1964,346.11764705882354
624,Alabama,2012,3272.529411764706
625,Arizona,2012,117415.06666666667
481,Arizona,1997,143378.13333333333
1,Arizona,1950,128474.66666666667
433,Arizona,1992,127527.2
49,Arizona,1954,156987.6
289,Arizona,1978,159430.26666666666
337,Arizona,1982,146376.66666666666
193,Arizona,1969,157015.73333333334
529,Arizona,2002,124231.33333333333
241,Arizona,1974,153797.06666666668
145,Arizona,1964,150050.13333333333
577,Arizona,2007,116821.06666666667
385,Arizona,1987,121845.46666666666
97,Arizona,1959,153660.0
290,Arkansas,1978,44296.27631578947
242,Arkansas,1974,24971.315789473683
626,Arkansas,2012,126383.46052631579
386,Arkansas,1987,63310.78947368421
194,Arkansas,1969,26584.21052631579
98,Arkansas,1959,18731.894736842107
434,Arkansas,1992,71092.02631578948
2,Arkansas,1950,11108.078947368422
146,Arkansas,1964,25639.394736842107
482,Arkansas,1997,99613.56578947368
530,Arkansas,2002,109188.82894736843
578,Arkansas,2007,117384.01315789473
50,Arkansas,1954,22575.342105263157
338,Arkansas,1982,53200.39473684211
339,California,1982,286402.13559322036
99,California,1959,250697.28813559323
531,California,2002,295232.30508474575
243,California,1974,262593.6271186441
147,California,1964,257582.98305084746
195,California,1969,245387.66101694916
51,California,1954,238916.91525423728
627,California,2012,266507.25423728814
387,California,1987,257494.61016949153
291,California,1978,288333.0169491525
579,California,2007,271694.30508474575
3,California,1950,218248.2711864407
435,California,1992,256654.6779661017
483,California,1997,301243.83050847455
52,Colorado,1954,70716.28125
580,Colorado,2007,89605.5
196,Colorado,1969,90194.5625
100,Colorado,1959,83898.65625
436,Colorado,1992,99053.3125
484,Colorado,1997,105440.296875
628,Colorado,2012,78625.84375
